transcriptid	prot	description	chrom	strand	cdsStart	cdsEnd	exonStarts	exonEnds
refGene.NM_033197.1.inc	C20orf114	LPLUNC1 protein precursor	chr20	+	31340236	31357525	31334601,31337499,31340207,31341351,31342423,31343373,31348991,31351365,31352699,31353825,31354382,31355424,31356312,31357468,31358377,31361174,	31334721,31337655,31340349,31341459,31342573,31343455,31349055,31351451,31352879,31353879,31354541,31355492,31356358,31357532,31358454,31361345,
refGene.NM_033198.1	PIGS	phosphatidylinositol glycan anchor biosynthesis,	chr17	-	23905364	23922641	23904532,23905995,23907310,23907971,23909620,23911193,23912566,23914575,23914962,23921996,23922193,23922607,	23905640,23906206,23907411,23908117,23909735,23911336,23912774,23914667,23915052,23922108,23922333,23922655,
refGene.NM_033199.1	UCN2	urocortin 2 preproprotein	chr3	-	48575222	48575561	48574156,48576139,	48575573,48576205,
refGene.NM_033201.1	C16orf45	hypothetical protein LOC89927	chr16	+	15436011	15588187	15435825,15516662,15569340,15582574,15584513,15588074,	15436117,15516786,15569414,15582689,15584596,15589418,
refGene.NM_033204.1.inc	ZNF101	zinc finger protein 101	chr19	+	19649798	19651980	19640662,19649672,19650534,19650989,	19640775,19649799,19650595,19652138,
refGene.NM_033207.1	TMEM10	transmembrane protein 10 isoform a	chr10	-	98095687	98108643	98092966,98098035,98099453,98101124,98105001,98108640,	98095864,98098092,98099573,98101157,98105037,98109082,
refGene.NM_033208.1	TIGD7	tigger transposable element derived 7	chr16	-	3288965	3290615	3288834,	3291401,
refGene.NM_033210.1.inc	ZNF502	zinc finger protein 502	chr3	+	44737475	44738786	44729141,44731086,44736698,44737368,	44729240,44731184,44736812,44740325,
refGene.NM_033211.1	C5orf30	hypothetical protein LOC90355	chr5	+	102639519	102640140	102622340,102629507,102639496,	102622496,102629597,102642260,
refGene.NM_033212.1.inc	CCDC102A	coiled-coil domain containing 102A	chr16	-	56106788	56120425	56103592,56106753,56107705,56109480,56110037,56112480,56117313,56120005,56127912,	56104283,56106857,56107876,56109690,56110154,56112589,56117540,56120737,56127978,
refGene.NM_033214.1	GK2	glycerol kinase 2	chr4	-	80546716	80548378	80546531,	80548396,
refGene.NM_033219.1	TRIM14	tripartite motif protein TRIM14 isoform alpha	chr9	-	99889572	99921291	99886457,99889544,99894011,99896969,99902033,99911991,99921084,	99886569,99890108,99894104,99897132,99902267,99912087,99921301,
refGene.NM_033222.1	PSIP1	PC4 and SFRS1 interacting protein 1 isoform 2	chr9	-	15455517	15500186	15454065,15456745,15458627,15458954,15459263,15459935,15462629,15464006,15468474,15469588,15476003,15476824,15479983,15496558,15500114,15500814,	15455578,15456857,15458841,15459056,15459334,15459991,15462748,15464235,15468550,15469685,15476066,15476929,15480122,15496635,15500327,15500982,
refGene.NM_033223.1	GABRG3	gamma-aminobutyric acid (GABA) A receptor, gamma	chr15	+	24799428	25451622	24799262,24804894,24854646,25154701,25156698,25399390,25438712,25446173,25446673,25451340,	24799481,24805043,24854714,25154922,25156781,25399528,25438865,25446370,25446733,25451729,
refGene.NM_033224.1.inc	PURB	purine-rich element binding protein B	chr7	-	44890626	44891379	44882418,	44891485,
refGene.NM_033247.1.inc	PML	promyelocytic leukemia protein isoform 8	chr15	+	72077397	72102798	72074066,72077397,72102221,72104250,72115400,	72074335,72077870,72102802,72104321,72115787,
refGene.NM_033255.1.inc	EPSTI1	epithelial stromal interaction 1 isoform 2	chr13	-	42367225	42464211	42360121,42367144,42372445,42389676,42398471,42426083,42435390,42436201,42441229,42442747,42464113,	42360638,42367244,42372519,42389760,42398565,42426157,42435474,42436275,42441313,42442806,42464377,
refGene.NM_033256.1	PPP1R14A	protein phosphatase 1, regulatory (inhibitor)	chr19	-	43433797	43438819	43433718,43434785,43435373,43438618,	43433926,43434818,43435454,43439012,
refGene.NM_033259.1	CAMK2N2	CaM-KII inhibitory protein	chr3	-	185460638	185461767	185459696,185461598,	185460709,185461945,
refGene.NM_033266.1.inc	ERN2	endoplasmic reticulum to nucleus signalling 2	chr16	-	23610133	23629786	23609197,23609950,23610123,23610784,23611005,23613549,23613840,23614021,23614715,23619360,23619780,23620973,23621211,23621445,23623704,23625151,23625575,23625828,23628993,23629337,23629734,23631916,	23609865,23610018,23610247,23610912,23611153,23613749,23613940,23614211,23614800,23619526,23619936,23621095,23621359,23621524,23623969,23625253,23625683,23625901,23629066,23629371,23629840,23632322,
refGene.NM_033267.1.inc	IRX2	iroquois homeobox protein 2	chr5	-	2801546	2804386	2799879,2801458,2802495,2804278,	2800730,2802166,2802901,2804769,
refGene.NM_033271.1.inc	BTBD6	BTB domain protein BDPL	chr14	+	104786783	104787931	104786052,104786396,104786538,104786741,104787021,	104786274,104786467,104786629,104786860,104788471,
refGene.NM_033276.1.inc	XRCC6BP1	Ku70-binding protein 3	chr12	+	56621823	56636868	56621711,56625677,56627044,56631807,56633655,56636736,	56621938,56625723,56627126,56631945,56633739,56637318,
refGene.NM_033277.1	LACRT	lacritin precursor	chr12	-	53310942	53314892	53310889,53311788,53312291,53313230,53314834,	53311004,53311890,53312432,53313284,53314930,
refGene.NM_033280.1	SEC11C	SEC11-like 3	chr18	+	54958160	54976897	54958104,54967724,54970747,54973899,54975819,54976843,	54958247,54967834,54970897,54974019,54975877,54977043,
refGene.NM_033285.1	TP53INP1	tumor protein p53 inducible nuclear protein 1	chr8	-	96011882	96022345	96007376,96021263,96022233,96030557,	96012132,96021624,96022495,96030767,
refGene.NM_033288.1	ZNF160	zinc finger protein 160	chr19	-	58263141	58281341	58260991,58269204,58270121,58281326,58286701,58298329,	58265327,58269333,58270248,58281386,58286785,58298488,
refGene.NM_033294.1.inc	CASP1	caspase 1 isoform delta	chr11	-	104402272	104407197	104401451,104402162,104402778,104405601,104406266,104407101,104410360,104411043,	104401537,104402293,104402888,104405836,104406440,104407217,104410411,104411067,
refGene.NM_033296.1	MRFAP1	Mof4 family associated protein 1	chr4	+	6693490	6693874	6693345,6694357,	6693886,6695350,
refGene.NM_033301.1	RPL8	ribosomal protein L8	chr8	-	145985992	145988318	145985958,145986543,145987465,145987961,145988180,145988433,	145986151,145986659,145987684,145988103,145988329,145988533,
refGene.NM_033309.1.inc	MGC4655	hypothetical protein LOC84752	chr16	-	65740800	65741769	65739506,65742268,	65742075,65742403,
refGene.NM_033310.1	KCNK4	TRAAK	chr11	+	63817066	63823774	63815368,63816989,63820925,63821166,63821514,63822157,63823393,	63815614,63817255,63821049,63821327,63821701,63822297,63824078,
refGene.NM_033312.1.inc	CDC14A	CDC14 homolog A isoform 2	chr1	+	100615735	100737337	100590634,100591905,100615689,100628875,100662365,100678075,100681077,100693548,100700794,100706099,100722435,100732961,100734145,100736228,100737072,	100591147,100591996,100615765,100628968,100662445,100678142,100681140,100693636,100701025,100706238,100722595,100733074,100734193,100736351,100737602,
refGene.NM_033315.1	RASL10B	RAS-like, family 10, member B	chr17	+	31086316	31092437	31082870,31086169,31091540,31092166,	31083010,31086532,31091665,31094652,
refGene.NM_033318.1	C22orf32	hypothetical protein LOC91689	chr22	+	40805718	40808012	40805644,40807874,40809068,	40805904,40808015,40810233,
refGene.NM_033319.1	CENPL	centromere protein L	chr1	-	172036208	172047060	172035639,172038723,172043027,172046892,172059686,172059898,	172036280,172039266,172043279,172047067,172059780,172060082,
refGene.NM_033328.1	CAPZA3	capping protein alpha 3	chr12	+	18782469	18783369	18782311,	18783388,
refGene.NM_033331.1	CDC14B	CDC14 homolog B isoform 2	chr9	-	98305855	98421481	98302217,98311775,98324608,98325363,98325689,98336029,98336557,98341180,98343928,98353898,98364795,98366879,98367495,98421321,	98305892,98311892,98324706,98325523,98325828,98336260,98336645,98341243,98343995,98353975,98364888,98366955,98367586,98421933,
refGene.NM_033334.1.inc	NR6A1	nuclear receptor subfamily 6, group A, member 1	chr9	-	126326875	126356668	126324523,126326820,126328878,126337977,126340191,126342132,126345901,126356427,126535407,126573119,	126324893,126326973,126329000,126338232,126340419,126342287,126345957,126356670,126535449,126573397,
refGene.NM_033337.1	CAV3	caveolin 3	chr3	+	8750562	8762553	8750495,8762211,	8750676,8763450,
refGene.NM_033338.1.inc	CASP7	caspase 7 isoform delta	chr10	+	115447242	115479190	115429415,115441712,115447242,115470780,115471399,115475110,115476053,115479059,	115429727,115441819,115447352,115470917,115471528,115475286,115476183,115480652,
refGene.NM_033343.1	LHX4	LIM homeobox protein 4	chr1	+	178466287	178510337	178466064,178484042,178502149,178507137,178507592,178509942,	178466363,178484214,178502352,178507292,178507764,178510811,
refGene.NM_033347.1.inc	KCNK7	potassium channel, subfamily K, member 7 isoform	chr11	-	65117141	65119729	65116902,65117522,65119500,	65117257,65117921,65120043,
refGene.NM_033358.1.inc	CASP8	caspase 8 isoform E	chr2	+	201839523	201849838	201806410,201806983,201839428,201844483,201845605,201845865,201849794,201854800,	201806590,201807080,201839759,201844589,201845744,201845910,201849936,201854883,
refGene.NM_033363.1	MRPS12	mitochondrial ribosomal protein S12 precursor	chr19	+	44113774	44115180	44113433,44113755,44114812,	44113651,44113823,44115497,
refGene.NM_033364.1.inc	C3orf15	AAT1-alpha	chr3	+	120908967	120949372	120904562,120908345,120908940,120910127,120911375,120917098,120927707,120931756,120933830,120934900,120938902,120940791,120942085,120945511,120948651,120949347,120952473,120966588,	120904759,120908422,120909098,120910211,120911432,120917280,120927885,120931914,120934013,120935043,120939019,120940863,120942232,120945733,120948800,120949439,120952635,120968377,
refGene.NM_033375.1.inc	MYO1C	myosin IC isoform c	chr17	-	1318041	1333039	1314229,1317285,1317523,1317883,1318031,1318296,1318446,1319574,1320218,1320478,1320664,1321114,1321266,1321950,1322166,1324653,1324855,1324981,1327548,1327934,1328130,1328453,1328659,1329474,1329635,1330570,1330749,1332521,1332904,1333653,1334191,1341643,	1315796,1317385,1317621,1317954,1318167,1318352,1318540,1319658,1320378,1320563,1320733,1321191,1321380,1322068,1322272,1324734,1324902,1325076,1327640,1328015,1328236,1328536,1328779,1329546,1329749,1330669,1330929,1332602,1333103,1333769,1334347,1341722,
refGene.NM_033387.1	FAM78A	hypothetical protein LOC286336	chr9	-	133126029	133141387	133123286,133141064,	133126558,133141727,
refGene.NM_033388.1	ATG16L2	ATG16 autophagy related 16-like 2	chr11	+	72203138	72218083	72203098,72205420,72206448,72210360,72210736,72211170,72211540,72212752,72213426,72213994,72214865,72215210,72215395,72215880,72217051,72217421,72217575,72217995,	72203256,72205520,72206548,72210434,72210988,72211236,72211654,72212815,72213535,72214100,72214936,72215282,72215516,72215986,72217201,72217469,72217677,72218326,
refGene.NM_033389.1.inc	SSH2	slingshot 2	chr17	-	24982410	25028857	24977090,24987111,24999287,25001797,25006704,25018010,25018273,25023078,25027963,25028816,25035706,25046602,25054102,25145037,25281081,	24984075,24987946,24999488,25001944,25006751,25018139,25018367,25023273,25028029,25028885,25035828,25046667,25054206,25145081,25281144,
refGene.NM_033394.1	TANC1	TPR domain, ankyrin-repeat and	chr2	+	159630668	159795769	159533391,159565837,159630653,159662394,159700950,159713898,159715126,159728039,159734006,159735280,159736877,159739709,159741108,159743312,159750547,159751658,159759013,159761364,159763731,159782253,159783994,159784448,159788988,159790444,159792575,159793552,159794334,	159533540,159565947,159630729,159662592,159701055,159714029,159715313,159728303,159734129,159735562,159737029,159739941,159741275,159743920,159750656,159751781,159759250,159761550,159763810,159782387,159784118,159784624,159789121,159790536,159792722,159793653,159797414,
refGene.NM_033397.1.inc	KIAA1754	hypothetical protein LOC85450	chr10	-	106064317	106065637	106061890,106083085,106083374,	106065812,106083246,106083653,
refGene.NM_033402.1.inc	LRRCC1	sodium channel associated protein 2 isoform a	chr8	+	86209286	86237912	86206628,86209081,86209601,86212418,86214586,86214861,86222899,86224278,86226175,86228661,86229405,86231246,86234333,86235275,86236950,86237521,86237824,86240868,86244875,	86206886,86209287,86209667,86212586,86214762,86215071,86223093,86224426,86226324,86228866,86229545,86231448,86234519,86235450,86237114,86237730,86237962,86241004,86245564,
refGene.NM_033409.1	C20orf54	hypothetical protein LOC113278	chr20	-	689669	694418	688724,690344,692141,693851,696940,	689882,690468,692647,694469,697131,
refGene.NM_033410.1.inc	ZNF764	zinc finger protein 764	chr16	-	30474135	30476884	30472586,30476554,30476808,	30474932,30476668,30477085,
refGene.NM_033411.1	RWDD2	RWD domain containing 2	chr6	+	83960889	83962710	83960749,83962032,	83961090,83962969,
refGene.NM_033412.1	MCART1	mitochondrial carrier triple repeat 1	chr9	-	37877653	37878547	37877602,37889825,37894064,	37878589,37889947,37894350,
refGene.NM_033413.1.inc	LRRC46	leucine rich repeat containing 46	chr17	+	43264550	43269389	43264098,43264464,43266789,43267717,43268030,43268397,43268697,43269114,	43264364,43264570,43266898,43267764,43268140,43268467,43268840,43269689,
refGene.NM_033414.1	ZNF622	zinc finger protein 622	chr5	-	16504765	16518774	16504628,16506121,16511625,16516216,16516590,16518149,	16504893,16506265,16511738,16516379,16516851,16518894,
refGene.NM_033415.1	ARMC6	armadillo repeat containing 6	chr19	+	19014565	19029437	19005470,19014519,19015800,19023430,19025960,19027073,19027599,19029224,	19005739,19014686,19015883,19024004,19026130,19027205,19027737,19029978,
refGene.NM_033416.1	IMP4	IMP4, U3 small nucleolar ribonucleoprotein,	chr2	+	130816975	130820511	130816958,130817128,130818671,130819418,130819609,130819821,130820060,130820243,130820398,	130816978,130817237,130818755,130819528,130819742,130819976,130820155,130820317,130820667,
refGene.NM_033418.1.inc	C1orf156	hypothetical protein MGC9084	chr1	-	168028452	168029349	168028295,168030579,	168029662,168030655,
refGene.NM_033419.1	PERLD1	CAB2 protein	chr17	-	35082581	35097793	35080901,35082829,35083292,35083771,35084395,35094375,35095700,35097612,	35082645,35083034,35083429,35083833,35084458,35094528,35095798,35097836,
refGene.NM_033420.1.inc	C19orf6	membralin isoform 2	chr19	-	962475	971875	960649,962365,962578,962739,962890,963064,963461,964239,965190,971770,	961894,962498,962662,962797,962991,963187,963572,964339,965472,972141,
refGene.NM_033423.1	GZMH	granzyme H	chr14	-	24145648	24148659	24145532,24146194,24146657,24147310,24148604,	24145792,24146452,24146793,24147458,24148704,
refGene.NM_033426.1	KIAA1737	KIAA1737 protein	chr14	+	76641804	76650414	76634330,76641752,76645907,76649520,	76634457,76641940,76646077,76653382,
refGene.NM_033427.1	CTTNBP2	cortactin binding protein 2	chr7	-	117138826	117300705	117137943,117145307,117146793,117148356,117151836,117152341,117155378,117162202,117162558,117173120,117173302,117183844,117185164,117187724,117194348,117204800,117207730,117210151,117211540,117218417,117238054,117288498,117300624,	117139072,117145409,117146926,117148420,117152022,117152547,117155557,117162390,117162711,117173220,117173389,117183924,117185260,117188000,117194466,117205055,117207881,117210251,117211744,117220071,117238279,117288606,117300797,
refGene.NM_033429.1.inc	CALML4	calmodulin-like 4 isoform 1	chr15	-	66273463	66284711	66270097,66276831,66278932,66284512,66284636,	66273504,66277020,66279073,66284543,66285502,
refGene.NM_033438.1.inc	SLAMF9	SLAM family member 9	chr1	-	158188161	158190026	158187907,158188675,158189722,158190505,	158188280,158188948,158190067,158190634,
refGene.NM_033440.1	ELA2A	elastase 2A preproprotein	chr1	+	15655835	15671089	15655810,15656167,15660642,15661814,15662467,15665080,15666467,15671071,	15655875,15656256,15660740,15661943,15662604,15665226,15666620,15671167,
refGene.NM_033445.1	HIST3H2A	histone H2a	chr1	-	226711748	226712141	226711688,	226712183,
refGene.NM_033446.1.inc	FAM125B	hypothetical protein LOC89853 isoform 1	chr9	+	128142622	128286123	128128948,128142607,128183163,128188661,128194165,128197674,128223953,128283468,128286072,128305276,	128129110,128142730,128183271,128188758,128194295,128197797,128224048,128283524,128286132,128309140,
refGene.NM_033448.1	KRT71	keratin 6 irs	chr12	-	51224582	51233128	51223960,51225615,51226336,51227907,51228202,51228751,51229343,51230079,51232687,	51224794,51225650,51226557,51228033,51228367,51228847,51229404,51230294,51233170,
refGene.NM_033449.1.inc	FCHSD1	FCH and double SH3 domains 1	chr5	-	141002836	141009663	140999053,141001452,141002751,141003968,141004323,141004609,141004770,141005521,141005837,141006353,141006885,141007148,141007718,141008707,141008922,141009145,141009637,141010109,141010770,141011098,	141001314,141001508,141002839,141004189,141004441,141004693,141004899,141005683,141005942,141006473,141006981,141007271,141007847,141008771,141009059,141009287,141009705,141010155,141010868,141011170,
refGene.NM_033453.1.inc	ITPA	inosine triphosphatase isoform a	chr20	+	3138254	3152051	3138055,3141814,3141964,3142630,3143926,3147162,3150486,3152011,	3138263,3141872,3142029,3142704,3143958,3147278,3150563,3152504,
refGene.NM_033497.1	HK1	hexokinase 1 isoform HKI-ta/tb	chr10	+	70718505	70830897	70699761,70712290,70718432,70725394,70773588,70789658,70794544,70798297,70798998,70799202,70806695,70809623,70812248,70814094,70814557,70816084,70818958,70821886,70824711,70828356,70830752,	70699870,70712412,70718532,70725442,70773751,70789807,70794664,70798393,70799098,70799386,70806851,70809857,70812553,70814243,70814677,70816180,70819058,70822070,70824867,70828590,70831641,
refGene.NM_033503.1	BMF	Bcl2 modifying factor isoform bmf-1	chr15	-	38171279	38185579	38167382,38183672,38185287,38185850,	38171381,38183833,38185584,38185931,
refGene.NM_033504.1.inc	TMEM54	beta-casein-like protein	chr1	-	33133058	33136457	33132782,33133492,33133742,33134097,33136313,33139410,	33133067,33133627,33133931,33134157,33136507,33139540,
refGene.NM_033505.1.inc	SELI	selenoprotein I	chr2	+	26440733	26462890	26422457,26440673,26441203,26443517,26449738,26451411,26459670,26461330,26462725,26465376,	26422661,26440742,26441312,26443592,26450001,26451520,26459719,26461511,26462908,26472263,
refGene.NM_033507.1	GCK	glucokinase isoform 2	chr7	-	44151259	44165244	44150394,44151620,44152586,44153773,44155883,44156092,44157079,44158394,44159424,44165196,	44151404,44151854,44152742,44153957,44155983,44156188,44157199,44158549,44159587,44165412,
refGene.NM_033510.1.inc	DISP2	dispatched B	chr15	+	38443418	38449391	38437725,38443117,38443718,38443913,38444330,38444639,38445120,38446550,	38437933,38443447,38443748,38444037,38444446,38444767,38445218,38450548,
refGene.NM_033512.1	TSPYL5	TSPY-like 5	chr8	-	98357994	98359248	98354890,	98359352,
refGene.NM_033516.1.inc	TPD52L3	protein kinase NYD-SP25 isoform 1	chr9	+	6318637	6318976	6318374,	6320669,
refGene.NM_033520.1	C19orf33	HAI-2 related small protein	chr19	+	43486741	43487444	43486643,43486854,43487103,43487324,	43486763,43486970,43487166,43487486,
refGene.NM_033540.1	MFN1	mitofusin 1	chr3	+	180549333	180592541	180548173,180549326,180552381,180559321,180562839,180564778,180565599,180567920,180568517,180575701,180577523,180577825,180578822,180579066,180586050,180586914,180590485,180592462,	180548292,180549445,180552517,180559484,180562964,180564887,180565707,180568074,180568585,180575823,180577650,180577930,180578925,180579296,180586203,180587111,180590620,180593700,
refGene.NM_033550.1.inc	TP53RK	p53-related protein kinase	chr20	-	44748873	44751385	44746411,44751177,	44749277,44751683,
refGene.NM_033551.1.inc	LARP1	la related protein isoform 2	chr5	+	154115837	154171276	154115081,154150077,154150397,154152374,154153347,154153552,154153852,154154927,154159343,154159625,154161759,154163042,154163292,154163953,154165633,154168211,154170999,154171265,154173639,	154115946,154150139,154150463,154152549,154153476,154153753,154154015,154155072,154159512,154159795,154162152,154163166,154163498,154164060,154165785,154168356,154171109,154171393,154177354,
refGene.NM_033553.1	GUCA2A	guanylate cyclase activator 2A	chr1	-	42401163	42402970	42400948,42401660,42402895,	42401228,42401868,42402982,
refGene.NM_033557.1	YIF1B	Yip1 interacting factor homolog B isoform 2	chr19	-	43487831	43492088	43487583,43489907,43490076,43491271,43491458,43491703,43491884,	43487987,43490001,43490232,43491329,43491537,43491808,43492349,
refGene.NM_033626.1.inc	CCDC120	coiled-coil domain containing 120	chrX	+	48808341	48812403	48803459,48806433,48806709,48806942,48808335,48808844,48809510,48809928,48810221,48811655,	48803534,48806533,48806800,48807076,48808476,48809139,48809573,48810103,48810320,48814453,
refGene.NM_033631.1	LUZP1	leucine zipper protein 1	chr1	-	23287974	23293341	23284037,23290269,23308101,23308664,23367845,	23288133,23293460,23308207,23308730,23367925,
refGene.NM_033632.1.inc	FBXW7	F-box and WD repeat domain containing 7 isoform	chr4	-	153463692	153552195	153461860,153464785,153466607,153468809,153470273,153471333,153473197,153478403,153487531,153490643,153551904,153675542,	153463751,153464996,153466833,153468991,153470387,153471470,153473321,153478538,153487673,153490726,153552474,153675622,
refGene.NM_033637.1	BTRC	beta-transducin repeat containing protein	chr10	+	103103927	103300607	103103814,103180091,103211727,103229114,103271385,103275759,103280983,103282041,103282698,103284407,103285100,103286289,103288039,103300445,103302901,	103103975,103180199,103211805,103229204,103271617,103275946,103281080,103282179,103282817,103284657,103285219,103286400,103288118,103300638,103307058,
refGene.NM_033647.1	HELB	helicase (DNA) B	chr12	+	64982650	65018149	64982622,64984777,64986391,64989752,64994032,64995288,64998684,65001994,65002770,65004029,65005029,65011200,65018047,	64982837,64985197,64986561,64990655,64994210,64995430,64998839,65002076,65002830,65004258,65005173,65011692,65018223,
refGene.NM_033661.1.inc	WDR4	WD repeat domain 4 protein	chr21	-	43143350	43169912	43136274,43143219,43145433,43146747,43147740,43148860,43152840,43155460,43156618,43166729,43169880,43172585,	43136460,43143421,43145503,43146931,43147805,43148959,43152901,43155573,43156775,43166870,43169946,43172747,
refGene.NM_033668.1	ITGB1	integrin beta 1 isoform 1D precursor	chr10	-	33236002	33264492	33230501,33235996,33237301,33239156,33240381,33240819,33248818,33249178,33251190,33251573,33252518,33254804,33257027,33258755,33261448,33264425,	33230569,33236077,33237468,33239389,33240604,33241058,33249018,33249319,33251280,33251669,33252674,33255043,33257198,33258978,33261534,33264492,
refGene.NM_033670.1.inc	CCNB3	cyclin B3 isoform 1	chrX	+	50044990	50111355	50044279,50044866,50048519,50101940,50106390,50107364,50110979,50111345,	50044356,50044999,50048627,50102078,50106546,50107514,50111110,50111649,
refGene.NM_044472.1	CDC42	cell division cycle 42 isoform 2	chr1	+	22277558	22289112	22251706,22277508,22280801,22285518,22285748,22289022,	22251822,22277663,22280874,22285628,22285946,22289882,
refGene.NM_052813.1	CARD9	caspase recruitment domain protein 9	chr9	-	138378574	138386351	138378229,138378755,138379413,138381072,138381488,138381909,138384022,138384566,138384794,138385113,138385596,138386167,138387804,	138378674,138378832,138379490,138381118,138381530,138382101,138384148,138384710,138384974,138385418,138385734,138386367,138387929,
refGene.NM_052820.1	CORO2A	coronin, actin binding protein, 2A	chr9	-	99926876	99959763	99926298,99928651,99930272,99930709,99931896,99933057,99934287,99935140,99936908,99939674,99959562,99994661,	99927008,99928926,99930363,99930822,99931993,99933162,99934404,99935320,99937058,99939791,99959763,99994743,
refGene.NM_052821.1	WDR5	WD repeat domain 5	chr9	+	135994820	136012936	135994734,135995645,135996452,135996891,135997275,135997578,136003230,136006925,136009408,136010282,136010635,136011448,136012835,	135994901,135995754,135996526,135996981,135997365,135997662,136003286,136006972,136009484,136010316,136010710,136011536,136014914,
refGene.NM_052831.1.inc	C6orf192	hypothetical protein LOC116843	chr6	-	133133885	133159861	133132199,133133721,133133867,133134963,133135824,133137053,133139159,133142099,133146764,133150265,133152595,133153008,133159813,133161245,	133133168,133133771,133133961,133135038,133135920,133137145,133139261,133142236,133146921,133150413,133152669,133153104,133159953,133161440,
refGene.NM_052832.1	SLC26A7	solute carrier family 26, member 7 isoform a	chr8	+	92331055	92476501	92330691,92330942,92370539,92376934,92399619,92415698,92419553,92421807,92424756,92433213,92434304,92443756,92444875,92447983,92451188,92470741,92475200,92475339,92476465,	92330817,92331248,92370650,92377107,92399784,92415851,92419636,92421955,92424870,92433291,92434400,92443863,92444942,92448121,92451237,92470842,92475255,92475443,92479554,
refGene.NM_052841.1	TSSK3	testis-specific serine kinase 3	chr1	+	32600889	32602444	32600448,32601782,	32601034,32602509,
refGene.NM_052844.1.inc	WDR34	WD repeat domain 34	chr9	-	130436002	130458667	130435760,130436325,130436788,130437191,130437757,130438380,130439017,130442790,130458640,	130436082,130436483,130437021,130437359,130437867,130438538,130439127,130443039,130458950,
refGene.NM_052845.1.inc	MMAB	cob(I)alamin adenosyltransferase precursor	chr12	-	108479290	108495593	108475903,108481283,108483227,108483607,108483967,108487306,108490957,108493836,108495534,	108479324,108481343,108483292,108483705,108484040,108487364,108491051,108493898,108495741,
refGene.NM_052846.1	EMILIN3	elastin microfibril interfacer 3	chr20	-	39423321	39428688	39422019,39425691,39427088,39428521,	39425108,39425915,39427211,39428912,
refGene.NM_052847.1	GNG7	guanine nucleotide binding protein (G protein),	chr19	-	2466019	2471686	2462217,2471605,2506146,2597221,2653643,	2466145,2471723,2506186,2597278,2653663,
refGene.NM_052848.1	CCDC97	coiled-coil domain containing 97	chr19	+	46508055	46520460	46507933,46514128,46517318,46518085,46520339,	46508101,46514584,46517597,46518215,46522627,
refGene.NM_052849.1	CCDC32	coiled-coil domain containing 32 isoform a	chr15	-	38633461	38642506	38632591,38636706,38642262,38644281,	38633618,38636863,38642518,38644544,
refGene.NM_052850.1	GADD45GIP1	growth arrest and DNA-damage-inducible, gamma	chr19	-	12926021	12929026	12925972,12928676,	12926340,12929050,
refGene.NM_052851.1.inc	STARD13	START domain containing 13 isoform gamma	chr13	-	32582011	32602162	32575306,32578894,32582009,32582822,32583914,32584857,32590201,32598217,32599509,32601065,32614446,32637473,32639687,32677955,	32577847,32579071,32582227,32583044,32584029,32585068,32590400,32598377,32599683,32602426,32614510,32637555,32639759,32678143,
refGene.NM_052855.1.inc	ANKRD40	ankyrin repeat domain 40	chr17	-	46128464	46139906	46127681,46129299,46131758,46132927,46139880,	46128503,46129481,46132253,46133076,46140262,
refGene.NM_052857.1	CCDC16	coiled-coil domain containing 16	chr17	+	30312698	30313817	30312688,	30314316,
refGene.NM_052858.1.inc	MARVELD3	MARVEL domain containing 3 isoform 2	chr16	+	70217753	70226087	70217570,70220770,70225596,	70218100,70220898,70226732,
refGene.NM_052859.1	RFT1	RFT1 homolog	chr3	-	53100958	53139456	53099850,53101424,53108436,53113008,53114728,53115874,53120885,53128939,53130754,53131429,53132779,53134964,53139393,	53101126,53101674,53108542,53113153,53114859,53115925,53120964,53129077,53130856,53131619,53132896,53135050,53139503,
refGene.NM_052864.1.inc	TIFA	TRAF-interacting protein with a	chr4	-	113418520	113418967	113416231,113426244,	113419039,113426508,
refGene.NM_052865.1	C20orf72	hypothetical protein LOC92667	chr20	+	17898502	17918752	17897761,17898443,17904326,17916808,17918581,	17897784,17899013,17904546,17916941,17919759,
refGene.NM_052868.1.inc	IGSF8	immunoglobulin superfamily, member 8	chr1	-	158328762	158331541	158327753,158328225,158328695,158329337,158330123,158331282,158334822,	158328026,158328352,158329109,158329745,158330585,158331660,158335032,
refGene.NM_052873.1	C14orf179	hypothetical protein LOC112752	chr14	+	75521882	75619673	75521877,75524980,75558422,75612692,75618390,75618712,75619322,75619553,	75521936,75525073,75558490,75612787,75618463,75618788,75619385,75619842,
refGene.NM_052874.1.inc	STX1B2	syntaxin 1B2	chr16	-	30911954	30920371	30910868,30911951,30912168,30915504,30915772,30916323,30919749,30919915,30920350,30929188,	30911723,30912062,30912306,30915578,30915881,30916397,30919824,30920015,30920425,30929276,
refGene.NM_052875.1.inc	VPS26B	vacuolar protein sorting 26 homolog B	chr11	+	133600325	133620595	133599770,133610000,133615094,133618222,133620041,133620547,	133600449,133610157,133615259,133618398,133620184,133622894,
refGene.NM_052880.1	MGC17330	HGFL protein	chr22	-	30009069	30018330	30007586,30015300,30015484,30016950,30017165,30018260,	30009274,30015379,30015685,30017070,30017282,30018474,
refGene.NM_052882.1	ZIM3	zinc finger, imprinted 3	chr19	-	62338097	62345823	62337275,62340052,62341651,62345808,62348038,	62339275,62340151,62341778,62345865,62348382,
